id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
439,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"1, 2, 3, 4",4,4,4,4,4,5,4,3,4,3,1,1,0,0,0,,0,27,11,5,5,2,4,11,3,1
440,2,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 3, 4",4,5,5,1,4,4,4,5,4,4,1,1,0,0,0,1,0,25,10,3,4,1,1,10,1,1
441,3,5,0,0,0,0,1,0,1,3,1,5,4,1,3,2,3,3,4,3,1,1,1,0,0,1,1,21,10,3,3,1,4,10,3,1
442,2,"1, 2",1,1,0,0,0,0,3,"3, 4",2,5,5,3,5,3,3,3,5,3,3,1,1,0,1,1,1,45,10,4,7,2,1,10,1,1
443,3,"4, 5",0,0,0,1,1,0,1,"1, 2, 3",3,3,3,1,5,4,3,4,4,1,1,1,1,0,0,,0,18,10,0,1,1,1,10,1,1
444,3,2,0,1,0,0,0,0,3,1,1,5,5,4,5,4,5,5,5,4,3,1,1,0,0,0,0,24,10,5,7,5,3,10,1,4
445,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,1,"2, 3",2,5,5,1,4,5,4,3,4,3,2,1,0,0,0,0,1,23,10,4,3,1,1,10,1,1
446,2,2,0,1,0,0,0,0,1,3,1,4,4,4,5,2,4,3,4,3,2,1,0,0,0,,0,29,10,4,7,2,1,10,1,1
447,2,5,0,0,0,0,1,0,2,3,1,4,4,4,4,3,4,4,4,4,2,1,1,0,0,,0,21,13,3,4,2,1,13,1,1
448,2,"1, 2, 4, 5",1,1,0,1,1,0,3,3,1,3,5,5,5,4,5,5,5,5,1,1,0,0,0,1,0,23,10,4,4,2,1,10,1,1
