,Unnamed: 0,Unnamed: 0.1,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty,age_group
155,155,155,156,More than 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,3,1,1.0,1,1,5,0.2,5,0.2,1,1,2,1,1,0,0,0,1,50,13,6,7,5,1,13,1.0,4,0.41249999,0.53750002,0.41249999,0.25,0,0,0,1,older
156,156,156,157,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3",3,1.0,4,2,5,0.4,2,0.2,4,5,1,1,1,0,0,1,0,25,13,5,7,4,1,13,1.0,4,0.73750001,0.71249998,0.61250001,0.5,0,0,0,1,young
157,157,157,158,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,2,1,3,1.0,5,0.2,5,1,2,1,0,0,0,1,0,24,10,4,7,5,1,10,1.0,1,0.55000001,0.78333336,0.61250001,0.25,1,0,0,0,young
158,158,158,159,More than 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,4,4,4,1.0,5,0.6,3,4,1,1,1,0,0,0,0,25,13,5,1,2,1,13,1.0,1,0.85000002,0.88333333,0.66250002,0.25,1,0,0,0,young
159,159,159,160,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,2,1,0.8,5,5,4,0.6,5,0.8,4,5,"1, 3",2,1,1,0,1,0,24,8,4,1,2,4,8,3.0,1,0.76249999,0.7208333,0.82499999,0.75,1,0,0,0,young
160,160,160,161,Between 1 Hour and 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,between 1000-3000 friends,"2, 3",2,1.0,5,1,5,1.0,5,0.6,4,5,2,1,1,0,0,0,0,22,10,4,1,1,1,10,1.0,1,0.67500001,0.89166665,0.76249999,0.25,1,0,0,0,young
161,161,161,162,More than 3 Hours,"1, 4",1,0,0,1,0,0,between 1000-3000 friends,"1, 2, 4",3,1.0,2,4,4,1.0,4,0.4,2,2,1,1,1,0,0,1,0,25,8,4,5,2,4,8,3.0,1,0.6875,0.89583331,0.46250001,0.5,1,0,0,0,young
162,162,162,163,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 1000-3000 friends,"2, 3",2,0.6,4,1,4,0.8,5,0.2,1,1,2,1,0,0,0,0,0,26,10,5,5,2,3,10,1.0,1,0.57499999,0.6583333,0.41249999,0.0,1,0,0,0,young
163,163,163,164,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"2, 3, 4",3,0.6,2,1,4,0.8,4,0.2,4,1,1,1,1,0,0,0,1,20,1,0,1,1,2,9,1.0,4,0.53750002,0.64583331,0.51249999,0.25,0,0,0,1,young
164,164,164,165,Less than 1 Hour,2,0,1,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,0.4,4,2,1,0.2,5,0.2,1,3,2,1,0,0,0,0,1,27,13,4,4,3,1,13,1.0,1,0.60000002,0.40000001,0.51249999,0.0,1,0,0,0,young
165,165,165,166,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 2, 3, 4",4,1.0,5,4,5,0.6,5,0.6,3,1,1,1,0,0,0,1,0,28,13,4,4,2,1,13,1.0,1,0.94999999,0.85000002,0.51249999,0.25,1,0,0,0,young
166,166,166,167,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 4",2,1.0,5,3,5,0.6,4,1.0,5,5,3,1,1,0,0,1,0,34,10,5,5,2,1,10,1.0,1,0.77499998,0.79166669,0.76249999,0.5,1,0,0,0,medum
167,167,167,168,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"2, 3, 4",3,1.0,5,4,5,0.8,5,1.0,5,5,1,1,1,0,0,0,1,22,10,0,1,1,1,10,1.0,1,0.88749999,0.89583331,0.8125,0.25,1,0,0,0,young
